source	target	Spearman	P_value	FDR
otu_209	otu_482	0.9072635947051901	3.4271363968940705e-8	9.342373817933237e-6
otu_344	otu_667	0.9071160250262824	3.4746112209660396e-8	9.435499804490001e-6
otu_506	otu_763	0.9067863351146807	3.5827715905156765e-8	9.692080887381264e-6
otu_506	otu_754	0.9064215480582052	3.705887152705145e-8	9.962002430550434e-6
otu_267	otu_444	0.906407616963281	3.710661777844848e-8	9.962002430550434e-6
otu_207	otu_640	0.9063113960080367	3.74378754663951e-8	1.001300702474045e-5
otu_296	otu_3	0.905965115354029	3.8651633671449304e-8	1.0298771383825717e-5
otu_48	otu_721	0.9058426937213642	3.908894230519877e-8	1.0338575784760948e-5
otu_881	otu_90	0.9058416308791684	3.90927579196898e-8	1.0338575784760948e-5
otu_499	otu_526	0.9056347552173891	3.9841708598942205e-8	1.0497475608396385e-5
otu_504	otu_617	0.9055200907061737	4.026223932029893e-8	1.056898694098336e-5
otu_207	otu_754	0.9051215083852219	4.175456291832802e-8	1.0920281923983086e-5
otu_538	otu_881	0.9049398372721719	4.245073936814947e-8	1.102598681529663e-5
otu_14	otu_881	0.9049348824999099	4.246986851086376e-8	1.102598681529663e-5
otu_3	otu_526	0.9048220282043484	4.2907628783339646e-8	1.1092031337724961e-5
otu_574	otu_80	0.9047888044796677	4.3037256869382645e-8	1.1092031337724961e-5
otu_667	otu_73	0.904461352519119	4.433340672349573e-8	1.1347936687842478e-5
otu_31	otu_730	0.9044172676326717	4.4510502839045785e-8	1.1347936687842478e-5
otu_406	otu_734	0.9044172676326717	4.4510502839045785e-8	1.1347936687842478e-5
otu_183	otu_676	0.9042075701129157	4.536143571876039e-8	1.1523430530476205e-5
otu_670	otu_881	0.9040281341206515	4.610089265888462e-8	1.1651204285669665e-5
otu_357	otu_827	0.9040059157295881	4.6193188163456966e-8	1.1651204285669665e-5
otu_430	otu_894	0.9038698413708567	4.6761995609045925e-8	1.175284822974021e-5
otu_169	otu_345	0.9037319623836766	4.734461866995332e-8	1.1857233897002161e-5
otu_209	otu_506	0.903621286824577	4.781689844080006e-8	1.1933346809472342e-5
otu_232	otu_250	0.9031914959856875	4.969043354563496e-8	1.2357400589404994e-5
otu_558	otu_703	0.9029309219242679	5.085747956101727e-8	1.2603408116666644e-5
otu_316	otu_847	0.9024366600670494	5.313751816338197e-8	1.3122560060445507e-5
otu_184	otu_894	-0.902377076241787	5.3418357293111285e-8	1.3146109345508873e-5
otu_827	otu_869	0.9022098416621867	5.4213574074424287e-8	1.3295644553975416e-5
otu_731	otu_734	0.9019076603024485	5.5676897314782536e-8	1.3529212538636381e-5
otu_125	otu_559	0.90181745673652	5.612038611602088e-8	1.3529212538636381e-5
otu_175	otu_677	0.90181745673652	5.612038611602088e-8	1.3529212538636381e-5
otu_245	otu_677	0.90181745673652	5.612038611602088e-8	1.3529212538636381e-5
otu_270	otu_559	0.90181745673652	5.612038611602088e-8	1.3529212538636381e-5
otu_415	otu_762	0.9017407914962147	5.649975154398135e-8	1.3574496238749905e-5
otu_387	otu_698	0.901699732489549	5.670385050393634e-8	1.357750712269254e-5
otu_19	otu_97	0.9015344577322956	5.753198029090356e-8	1.3683344413080808e-5
otu_275	otu_417	0.9015344577322956	5.753198029090356e-8	1.3683344413080808e-5
otu_237	otu_337	0.9013078889828762	5.868449903800865e-8	1.3910777771966226e-5
otu_320	otu_327	0.9007979349138339	6.135307861754313e-8	1.4494869333656623e-5
otu_356	otu_754	0.9007518796992481	6.159925369786379e-8	1.4504680083354797e-5
otu_154	otu_430	-0.9004451849751204	6.326085921770641e-8	1.4846611450046887e-5
otu_107	otu_659	0.9003721588732962	6.366225635545675e-8	1.4891505219304792e-5
otu_190	otu_288	0.9002280127669292	6.446114841907047e-8	1.4990220758356867e-5
otu_29	otu_654	0.9001805353550157	6.472620128761264e-8	1.4990220758356867e-5
otu_531	otu_654	0.9001805353550157	6.472620128761264e-8	1.4990220758356867e-5
otu_744	otu_898	0.9001440980911684	6.493026938336754e-8	1.4990220758356867e-5
otu_477	otu_80	0.9000483907764514	6.546897646231287e-8	1.5065516804360022e-5
otu_3	otu_621	0.899864831721769	6.651317496775278e-8	1.5256271161859047e-5
otu_154	otu_306	0.8996138996138996	6.796430085387328e-8	1.553883157199717e-5
otu_489	otu_574	0.8992151568134685	7.032746873747442e-8	1.6027426605264427e-05
otu_175	otu_559	0.8989904427655592	7.169080462610111e-8	1.623372993188352e-5
otu_198	otu_245	0.8989904427655592	7.169080462610111e-8	1.623372993188352e-5
otu_848	otu_862	0.8984848484848484	7.484345498909306e-8	1.689364559174191e-5
otu_207	otu_763	0.8984166974365381	7.527759326997341e-8	1.693769746223059e-5
otu_575	otu_762	0.8981196021559236	7.719611594403375e-8	1.7314404790029547e-5
otu_284	otu_734	0.8977035355736019	7.995507456115547e-8	1.787664310598251e-5
otu_329	otu_734	0.8973328441749546	8.248573335478682e-8	1.833137823888235e-5
otu_108	otu_507	0.8973298866996884	8.250620320282565e-8	1.833137823888235e-5
otu_160	otu_894	0.8972298425361763	8.320128541683403e-8	1.8428044703761028e-5
otu_311	otu_805	0.896344507650295	8.958008201886969e-8	1.977905885722557e-5
otu_626	otu_823	0.8962612540064999	9.020144675631059e-8	1.9835607403990707e-5
otu_48	otu_558	0.8961974356410555	9.068031614489769e-8	1.9835607403990707e-5
otu_447	otu_698	0.8961855221465095	9.076995732826276e-8	1.9835607403990707e-5
otu_305	otu_805	0.896160876558641	9.095564657002342e-8	1.9835607403990707e-5
otu_300	otu_561	0.8960693556609044	9.16481228685484e-8	1.9925313976782934e-5
otu_337	otu_670	0.8958673987073257	9.319259985929307e-8	2.014701501726944e-5
otu_232	otu_847	0.8958617182905828	9.32363695138605e-8	2.014701501726944e-5
otu_261	otu_506	0.895708666099318	9.442251380775701e-8	2.0341307260299652e-5
otu_727	otu_851	0.8951408276227274	9.893984898035058e-8	2.124988101918584e-5
otu_382	otu_754	0.8947368421052632	1.0226817392933185e-7	2.1898365847176205e-5
otu_727	otu_73	0.8945793277551111	1.0359229030143524e-7	2.2064648501801627e-5
otu_489	otu_764	0.8945704504249692	1.0366736202804816e-7	2.2064648501801627e-5
otu_506	otu_731	0.8943181818181818	1.0582075637977084e-7	2.245554469812167e-5
otu_116	otu_263	0.8942540878315386	1.0637408776048574e-7	2.2505581624215484e-5
otu_344	otu_439	0.8941261419542662	1.0748626411150042e-7	2.26579205856346e-5
otu_284	otu_654	0.8940539019488088	1.0811871331561917e-7	2.26579205856346e-5
otu_337	otu_90	0.8940539019488088	1.0811871331561917e-7	2.26579205856346e-5
otu_452	otu_504	0.8940249767255755	1.0837286357201492e-7	2.26579205856346e-5
otu_148	otu_296	0.8938223938223938	1.1016760037563245e-7	2.2965408365362723e-5
otu_201	otu_677	0.8933364148236373	1.1457982029838831e-7	2.3815130039497272e-5
otu_12	otu_751	0.893055220083873	1.1720301951179124e-7	2.428912634771262e-5
otu_670	otu_898	0.8927125678695694	1.204707043012121e-7	2.4886872812486818e-5
otu_138	otu_77	0.8926795659155211	1.207896078714299e-7	2.4886872812486818e-5
otu_261	otu_754	0.8923349868193671	1.2416386807601043e-7	2.5507937141319754e-5
otu_237	otu_430	0.8922404051902919	1.2510440283719504e-7	2.5626877617020335e-5
otu_440	otu_650	0.8919104712200606	1.2843446839383432e-7	2.62332028296294e-5
otu_14	otu_430	0.8913336568110335	1.3444358515357635e-7	2.7381676842945048e-5
otu_482	otu_763	0.8909751998271795	1.3830099909739602e-7	2.8086594876868307e-5
otu_734	otu_754	0.8909346575826763	1.38743335931224e-7	2.8095921935604097e-5
otu_898	otu_90	0.8908546853141698	1.3961951683683083e-7	2.8192800214607468e-5
otu_734	otu_834	0.8904182949783247	1.4448673191225225e-7	2.907192245970852e-5
otu_29	otu_565	0.8903912192015967	1.447935638054787e-7	2.907192245970852e-5
otu_676	otu_73	0.8902255639097745	1.4668330949874075e-7	2.936815323173093e-5
otu_851	otu_883	0.889524398908572	1.5492385729842795e-7	3.0930657210939096e-5
