source	target	Pearson	P_value	FDR
otu_149	otu_168	0.985694430981001	2.220446049250313e-15	3.76498407145132e-13
otu_40	otu_717	0.9856795367615648	2.220446049250313e-15	3.76498407145132e-13
otu_409	otu_783	0.9856017051297236	2.4424906541753444e-15	4.1119707269674985e-13
otu_322	otu_717	0.9855764076478165	2.4424906541753444e-15	4.1119707269674985e-13
otu_107	otu_296	0.9855411261920293	2.4424906541753444e-15	4.1119707269674985e-13
otu_843	otu_900	0.9855286315097143	2.6645352591003757e-15	4.412420584672856e-13
otu_148	otu_438	0.9855135007273287	2.6645352591003757e-15	4.412420584672856e-13
otu_181	otu_618	0.9855016959598936	2.6645352591003757e-15	4.412420584672856e-13
otu_783	otu_794	0.9854866861548652	2.6645352591003757e-15	4.412420584672856e-13
otu_128	otu_818	0.985467687894065	2.6645352591003757e-15	4.412420584672856e-13
otu_148	otu_900	0.9854361694478393	2.6645352591003757e-15	4.412420584672856e-13
otu_193	otu_814	0.9853807690846929	2.6645352591003757e-15	4.412420584672856e-13
otu_128	otu_560	0.9852568545735648	3.1086244689504383e-15	5.007428815030257e-13
otu_164	otu_409	0.9852480137249636	3.1086244689504383e-15	5.007428815030257e-13
otu_168	otu_618	0.9852474410662536	3.1086244689504383e-15	5.007428815030257e-13
otu_574	otu_751	0.9852432406949161	3.1086244689504383e-15	5.007428815030257e-13
otu_386	otu_63	0.9852410957181474	3.1086244689504383e-15	5.007428815030257e-13
otu_329	otu_68	0.985180441363982	3.1086244689504383e-15	5.007428815030257e-13
otu_265	otu_63	0.9851772711290201	3.1086244689504383e-15	5.007428815030257e-13
otu_430	otu_666	0.9851474201804675	3.1086244689504383e-15	5.007428815030257e-13
otu_234	otu_900	0.985136174839237	3.1086244689504383e-15	5.007428815030257e-13
otu_258	otu_560	0.9851340946822488	3.1086244689504383e-15	5.007428815030257e-13
otu_192	otu_322	0.9851178299205579	3.1086244689504383e-15	5.007428815030257e-13
otu_128	otu_168	0.9851078805043615	3.1086244689504383e-15	5.007428815030257e-13
otu_38	otu_429	0.9850778138986829	3.3306690738754696e-15	5.340825820814429e-13
otu_149	otu_814	0.9850719853030276	3.3306690738754696e-15	5.340825820814429e-13
otu_157	otu_432	0.9849898445751971	3.552713678800501e-15	5.633157375809045e-13
otu_296	otu_621	0.9849830090201556	3.552713678800501e-15	5.633157375809045e-13
otu_10	otu_327	0.9849708863661348	3.552713678800501e-15	5.633157375809045e-13
otu_149	otu_192	0.9849705992823948	3.552713678800501e-15	5.633157375809045e-13
otu_116	otu_263	0.9848953512729651	3.552713678800501e-15	5.633157375809045e-13
otu_119	otu_717	0.9848440504885171	3.774758283725532e-15	5.971869824047563e-13
otu_292	otu_319	0.9848094283619037	3.9968028886505635e-15	6.295053367466608e-13
otu_138	otu_677	0.9846904974808841	3.9968028886505635e-15	6.295053367466608e-13
otu_305	otu_311	0.9846725705037729	4.218847493575595e-15	6.615376879527962e-13
otu_742	otu_850	0.9846650819353926	4.218847493575595e-15	6.615376879527962e-13
otu_319	otu_717	0.9845542595397997	4.440892098500626e-15	6.948182524797581e-13
otu_172	otu_618	0.9844911826678345	4.6629367034256575e-15	7.279522065903015e-13
otu_53	otu_717	0.9844199294708641	4.884981308350689e-15	7.592717877426829e-13
otu_128	otu_292	0.9843934984148132	4.884981308350689e-15	7.592717877426829e-13
otu_217	otu_659	0.9843330147690875	5.10702591327572e-15	7.903178354352182e-13
otu_532	otu_816	0.9843224286128093	5.10702591327572e-15	7.903178354352182e-13
otu_217	otu_438	0.9843061478858623	5.3290705182007514e-15	8.175393983722867e-13
otu_193	otu_532	0.984281000834631	5.3290705182007514e-15	8.175393983722867e-13
otu_272	otu_560	0.9842687998121867	5.3290705182007514e-15	8.175393983722867e-13
otu_128	otu_608	0.9842578914536791	5.3290705182007514e-15	8.175393983722867e-13
otu_609	otu_794	0.9842015427860491	5.551115123125783e-15	8.442936383404785e-13
otu_319	otu_661	0.9841946749154996	5.551115123125783e-15	8.442936383404785e-13
otu_319	otu_383	0.9841923065077663	5.551115123125783e-15	8.442936383404785e-13
otu_345	otu_97	0.9841781905608783	5.551115123125783e-15	8.442936383404785e-13
otu_717	otu_816	0.9841512562599914	5.773159728050814e-15	8.743129677036955e-13
otu_128	otu_91	0.9841295332823653	5.773159728050814e-15	8.743129677036955e-13
otu_164	otu_794	0.9840625967327968	5.995204332975845e-15	9.060044825245118e-13
otu_275	otu_661	0.9839931011095039	6.217248937900877e-15	9.355705641670118e-13
otu_275	otu_383	0.9839743238002475	6.217248937900877e-15	9.355705641670118e-13
otu_148	otu_777	0.9838792884723037	6.661338147750939e-15	9.960527480168682e-13
otu_345	otu_668	0.9838426185865219	6.661338147750939e-15	9.960527480168682e-13
otu_69	otu_717	0.9838288350138101	6.661338147750939e-15	9.960527480168682e-13
otu_198	otu_701	0.9837583787915924	7.105427357601002e-15	1.0557741496799342e-12
