source	target	Rho
otu_894	otu_318	0.826740589680081
otu_742	otu_432	0.82621708836169
otu_561	otu_154	0.826205110099843
otu_818	otu_258	0.826185969855503
otu_848	otu_730	0.825982648365953
otu_67	otu_29	0.825664096987958
otu_272	otu_174	0.82563714666153
otu_258	otu_53	0.825322415942103
otu_330	otu_299	0.825185308829567
otu_295	otu_139	0.824999727480499
otu_545	otu_447	0.824754415087755
otu_383	otu_193	0.824631469749048
otu_894	otu_892	0.824416392885019
otu_718	otu_66	0.824311454161813
otu_814	otu_258	0.824225115815311
otu_661	otu_193	0.823971083893058
otu_508	otu_263	0.82391642253691
otu_670	otu_14	0.823895734814666
otu_184	otu_154	0.823819728218658
otu_891	otu_250	0.823182353581866
otu_538	otu_276	0.82295148200007
otu_745	otu_629	0.822756066242018
otu_848	otu_773	0.822742349966089
otu_735	otu_288	0.822508894206893
otu_670	otu_318	0.822218138639224
otu_287	otu_100	0.82214067621664
otu_92	otu_74	0.822107196159812
otu_869	otu_191	0.822078640422051
otu_789	otu_654	0.822040936673034
otu_841	otu_479	0.821885936462373
otu_574	otu_533	0.821559540352102
otu_827	otu_643	0.821256438885293
otu_875	otu_297	0.821181923639504
otu_318	otu_237	0.821020543697547
otu_258	otu_119	0.821004134415551
otu_317	otu_22	0.820974525359417
otu_609	otu_202	0.820831548746397
otu_744	otu_318	0.82051125222651
otu_90	otu_14	0.820367321029244
otu_763	otu_202	0.820280598418278
otu_267	otu_237	0.820031323800747
otu_834	otu_284	0.819764988336791
otu_883	otu_66	0.819743056973464
otu_565	otu_202	0.819493369568874
otu_202	otu_29	0.819050031713425
otu_744	otu_14	0.818926955543402
otu_869	otu_533	0.818763707777369
otu_654	otu_284	0.818567631598079
otu_881	otu_678	0.818359358654585
otu_628	otu_54	0.818115370130589
otu_745	otu_543	0.817649478394807
otu_430	otu_318	0.817579832281637
otu_898	otu_447	0.817495940162263
otu_285	otu_69	0.817469786283978
otu_477	otu_92	0.817247543672435
otu_636	otu_327	0.817223988937001
otu_862	otu_761	0.817080877994818
otu_383	otu_272	0.816669686739142
otu_350	otu_209	0.816465390466181
otu_258	otu_172	0.816357000910498
otu_645	otu_353	0.816322326278379
otu_409	otu_234	0.816318465713434
otu_320	otu_254	0.816284162696599
otu_875	otu_87	0.816128302086945
otu_432	otu_245	0.815936752944422
otu_721	otu_48	0.815911626724899
otu_678	otu_160	0.815860074240969
otu_267	otu_90	0.815820090692438
otu_139	otu_80	0.815619876484108
otu_721	otu_280	0.815563897095327
otu_538	otu_202	0.815477440636953
otu_74	otu_10	0.815452336131696
otu_762	otu_734	0.815433159326848
otu_661	otu_272	0.815173835194334
otu_356	otu_22	0.814730207948016
otu_314	otu_154	0.814211846134811
otu_735	otu_731	0.814054793330311
otu_300	otu_92	0.813907497789272
otu_898	otu_299	0.813855549638273
otu_640	otu_261	0.813658503284693
otu_609	otu_447	0.813430939184408
otu_206	otu_124	0.812992504244253
otu_891	otu_71	0.812811653986277
otu_794	otu_777	0.812747817811305
otu_855	otu_848	0.812563623168588
otu_300	otu_10	0.812480320483514
otu_489	otu_263	0.812236872129625
otu_670	otu_267	0.812018489195764
otu_848	otu_761	0.811975946884868
otu_625	otu_322	0.811782586913829
otu_209	otu_118	0.811685661372026
otu_409	otu_386	0.811681187635203
otu_863	otu_66	0.811582650643648
otu_263	otu_80	0.811549799452415
otu_728	otu_319	0.811382822650739
otu_447	otu_276	0.810757547530847
otu_763	otu_350	0.810552967105963
otu_493	otu_66	0.810471079048111
otu_66	otu_12	0.809760392596952
otu_337	otu_276	0.809652810283886
otu_830	otu_558	0.809533893973107
otu_753	otu_254	0.809344648232768
otu_818	otu_625	0.809322485300954
otu_678	otu_118	0.809096567814935
otu_432	otu_201	0.8089713704113
otu_254	otu_4	0.808876315095246
otu_723	otu_270	0.808376976990204
otu_545	otu_330	0.807990038069206
otu_538	otu_337	0.807632383084609
otu_881	otu_538	0.807518133276515
otu_337	otu_318	0.807509660088063
otu_789	otu_777	0.807411277858383
otu_869	otu_154	0.807240212367201
otu_558	otu_32	0.807009148554335
otu_885	otu_201	0.806972349444605
otu_618	otu_263	0.806692805830196
otu_881	otu_276	0.806600287546254
otu_164	otu_67	0.806238281258576
otu_814	otu_625	0.806073064524456
otu_201	otu_72	0.805620113932401
otu_881	otu_318	0.805567146016784
otu_885	otu_245	0.805212513635142
otu_444	otu_164	0.805197037056108
otu_731	otu_406	0.804940389447076
otu_357	otu_306	0.804514753308016
otu_868	otu_250	0.803989855571776
otu_719	otu_10	0.803471829116825
otu_891	otu_580	0.803341173867064
otu_775	otu_622	0.803284400139321
otu_330	otu_67	0.803240965607759
otu_497	otu_201	0.803051603802271
otu_447	otu_224	0.802925997486878
otu_209	otu_202	0.802873786901978
otu_580	otu_71	0.802639771465712
otu_789	otu_267	0.802591646786327
otu_851	otu_183	0.802577511772692
otu_862	otu_855	0.802223834930937
otu_738	otu_452	0.802185088628227
otu_628	otu_183	0.80213144910931
otu_751	otu_508	0.802045309620574
otu_538	otu_430	0.801766775109642
otu_350	otu_14	0.801373412054196
otu_444	otu_330	0.801356985332802
otu_312	otu_54	0.801328226203867
otu_826	otu_462	0.800905007668443
otu_107	otu_77	0.800756993655267
otu_538	otu_160	0.800604035101251
otu_655	otu_254	0.800416190345653
otu_762	otu_735	0.800306837924179
otu_306	otu_10	0.800306213120272
otu_489	otu_139	0.800212978702308
otu_765	otu_659	0.800127221475206
otu_79	otu_53	0.799927380841302
otu_714	otu_566	0.799746643734635
otu_843	otu_666	0.799519580225254
otu_830	otu_201	0.799022603607638
otu_318	otu_160	0.798971010385522
otu_640	otu_350	0.798800104106216
otu_850	otu_72	0.798791325456317
otu_751	otu_116	0.798688484795543
otu_115	otu_10	0.798493430408538
otu_783	otu_267	0.798091730027938
otu_157	otu_72	0.798053619245304
otu_640	otu_587	0.798003831646346
otu_512	otu_344	0.797881902265841
otu_723	otu_125	0.797848727150952
