OTU	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
otu_130	0	0	0.005776976	0	0	0.020370414	0.021741398	0	0	0.017877096	0	0	0.034587476	0	0	0	0	0	0	0
otu_131	0	0	0	0	0	0	0.48012942	0.017700365	0	0	0	0	0	0	0	0	0	0	0	0
otu_132	0	0.015945436	0.009420708	0	0.040376566	0	0	0.010680838	0	0	0	0	0	0.012156068	0	0	0	0	0.014364187	0.018031502
otu_133	0	0.08345324	0.01961394	0	0	0	0	0	0.09105	0	0.007418567	0	0	0	0	0	0	0	0	0
otu_134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013444935	0.009221752
otu_135	0	0.007836485	0.22434115	0.026015747	0.019486519	0	0	0.003593492	0	0	0.025092626	0	0.00838833	0	0.05150702	0	0	0	0	0
otu_136	0.00946998	0.009275417	0.031060852	0.02148234	0.016414007	0	0	0	0.008181319	0	0.014458715	0.010225273	0.059882157	0	0	0.011581134	0	0.009096999	0	0
otu_137	0.007621912	0	0.027785782	0.015574731	0.009251267	0	0	0	0.005752028	0	0.010125848	0.005314593	0.031133585	0	0	0.005215595	0	0	0	0
otu_138	0.010376823	0.045148995	0.03226016	0.030803453	0.019712549	0.01203995	0.009324552	0.00951521	0.029606551	0.010054231	0.026965184	0.004933191	0.32817742	0.06938607	0.01982344	0	0.00416494	0.019759886	0.061412998	0.09526871
otu_139	0	0	0	0	0	0	0.1055506	0.006586306	0	0	0	0.005107624	0	0.010468277	0	0	0.012456892	0.10960148	0.00417277	0
otu_140	0	0	0.007198779	0	0	0	0	0	0	0	0	0	0.022689534	0.018895382	0	0	0	0	0.04214917	0.04738412
otu_141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu_142	0	0.01786271	0.19966082	0.013290185	0.015822781	0	0.009767242	0.13220069	0.017618738	0	0.009716746	0	0.05327657	0.010606683	0.00886857	0	0	0.00707747	0	0
otu_143	0	0	0.012998663	0	0.026375718	0	0	0.02629116	0	0	0	0	0	0	0	0	0.00890504	0.00719661	0.003972163	0.006660442
otu_144	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05377597	0	0	0.004859963	0	0.027536226	0.024801172
otu_145	0.013442452	0.01654903	0.045745935	0.012850492	0.08109585	0.004068237	0.034836557	0.20461902	0.02535409	0	0.006728245	0.041244302	0.017826144	0.009175861	0.036935657	0	0.05031565	0.030703532	0.017300552	0.017197452
otu_146	0.005875596	0	0.019731872	0.0133292	0	0	0	0	0	0	0.017801223	0	0.029358298	0	0	0	0	0	0	0
otu_147	0.02798911	0	0.034833364	0.006650187	0	0	0	0	0.064027674	0	0.005639116	0	0	0	0	0	0	0	0	0
otu_148	0.008761753	0.013382544	1.0802919	0.024644993	0.006540956	0.008202949	0	0.002291322	0.025690626	0.005434577	0.01628056	0	0.12626591	0.013346911	0	0	0	0	0.006207024	0.008153728
otu_149	0	0	0.031510144	0	0.02242185	0	0	0.14426377	0	0	0	0	0	0.005805848	0	0	0	0	0	0
otu_150	0	0	0	0	0	0	0	0	0	0	0	0	0.015172684	0	0	0	0	0	0	0
otu_151	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01421955	0	0	0.00856634	0	0.020949688	0.012796607
otu_152	0.011387308	0.016755572	0.08485705	0.010421106	0.014035401	0.007000718	0.004572828	0.007133362	0.032811895	0.005561233	0.008222817	0	0.03753539	0.0187072	0.013943943	0	0	0.013469219	0.01403774	0.019977422
otu_153	0	0	0	0	0.010442344	0	0.010114417	0.07853928	0	0	0	0.003763595	0	0.005000826	0	0	0.030072613	0.01676635	0.005770309	0.007525282
otu_154	0	0.026656557	0	0	0.056192767	0.004415956	0.3973671	0.08956567	0	0.005696466	0	0.10637659	0	0.18899123	0.015283364	0.006153727	0.15519068	0.5592831	0.14024013	0.116848156
otu_155	0	0	0.03627437	0	0	0	0	0.05126272	0.015672777	0	0	0	0.019899128	0	0	0	0	0	0	0
otu_156	0	0	0	0	0	0	0	0.035892356	0	0	0	0	0	0	0	0	0	0.008792891	0	0.011128185
otu_157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14507858	0.12618777
otu_158	0	0	0.011189143	0	0.011084375	0	0	0.03911278	0	0	0	0	0.008699271	0.006772714	0	0	0	0	0.008121201	0.010664808
otu_159	0	0	0	0	0	0	0	0.15791851	0	0	0	0	0	0	0	0	0	0	0	0
otu_160	0.06836289	0.016431369	1.1449789	0.024108738	0	0.024977745	0	0	1.2912743	0.016369894	0.020987887	0	0.017963022	0	0.035081595	0	0	0	0	0
otu_161	0	0	0	0	0	0.030285094	0.02794104	0	0	0.09087027	0	0.015038066	0	0.027748685	0	0	0.14129484	0	0.005748092	0
otu_162	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004515852	0	0	0	0	0.04549941	0.04030323
otu_163	0	0.006351226	0.013890549	0.004748283	0.0577132	0	0.007220975	0.095652886	0	0	0.004382091	0.035107296	0	0	0.019596709	0.008581312	0.02330914	0.014451209	0	0
otu_164	0	0	0.10472861	0.008901689	0.005526342	0	0	0	0.017988045	0	0.007985974	0	0.009009313	0	0	0	0	0	0	0.004735545
otu_165	0	0	0	0	0.013179678	0.011885358	0	0	0	0.01624182	0	0.010383392	0	0.009484199	0	0	0.004944991	0	0	0
otu_166	0	0.01136026	0.006511969	0	0.08790924	0	0.036142725	0.01342234	0	0	0	0.03908698	0	0	0.026907986	0.008213593	0.009290365	0.05311058	0.008776047	0
otu_167	0	0	0	0	0.07742003	0	0	0.019286899	0	0	0	0.024622152	0	0	0.010129655	0	0.04599298	0.03678387	0	0
otu_168	0	0	0.019824186	0	0.016825892	0	0.006262708	0.21102811	0.007642602	0	0	0	0	0	0	0	0	0.007215381	0	0.009320265
